시즌,INT,INTp,INTX,LUK,LUKp,LUKX,마력,마력p,데미지,보스데미지,상추뎀,방무,크뎀,벞지,소환수
2,6769,661,29990,3633,216,440,4203,135,198.5,560,14,98.76518652,159.6,71,40
2,6999,635,31170,3649,148,530,4242,126,188.5,623,14,98.95702029,151.05,68,40
2,7140,651,31550,4009,191,580,4397,153,215.5,500,14,97.97198389,161.8,55,40
2,6765,655,30700,3559,216,650,4158,141,201.5,556,17,98.71802318,161.7,51,42
2,6803,613,31590,3763,190,630,4349,149,191.5,603,14,99.07119912,159.4,91,42
2,8696,793,30880,4951,234,470,5366,165,208.5,670,14,99.12435735,182.3,89,42
2,8743,852,29080,5061,194,580,5696,180,209.5,689,17,99.25363793,181.6,78,42
2,8310,762,30770,4466,237,650,4911,156,204.5,606,17,99.47819962,179.5,65,32
2,7068,631,31590,3662,146,610,3953,155,191.5,582,14,99.07119912,167.3,93,42
2,6868,509,32140,3477,146,650,4039,162,191.5,556,16,99.03357179,170.05,67,42
2,7528,695,30920,4009,214,650,4274,141,196.5,559,17,99.40354342,169.25,87,40
